mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.09169673919677734,0.027267990611928247,0.04815201759338379,0.011118904043086322,1,{'n_neighbors': 1},-3209806347.436602,-2784785979.964189,-2722065289.153862,-3153163966.289923,-2758363267.257235,-3091650757.556423,-3117061072.067562,-2866640393.1442847,-2800019754.908807,-2970078438.987194,-2947363526.676608,173925371.41370943,1
0.10804259777069092,0.04246517562122308,0.07179677486419678,0.02381894649640693,2,{'n_neighbors': 2},-3728139097.200422,-3322915892.059442,-3294525379.357849,-3848181217.0673018,-3394500465.086196,-3675030685.7523685,-3623601190.9420934,-3331498175.9441233,-3517321238.4246564,-3587782435.402967,-3532349577.723742,181613063.96134073,2
0.09991884231567383,0.04256205105077139,0.07860770225524902,0.034251894011766114,3,{'n_neighbors': 3},-4437786848.872002,-4210349569.876755,-4265367818.309228,-4748508486.120527,-4252947033.1739073,-4581084011.766014,-4617742134.360955,-4225130879.2696695,-4396589295.016054,-4518542674.425184,-4425404875.11903,178043782.0984959,3
0.07785136699676513,0.0074045850592275005,0.06694931983947754,0.005276969501718732,4,{'n_neighbors': 4},-5400932887.613022,-5190028251.122716,-5371317180.923733,-5681670291.496467,-5242227990.543729,-5518446273.797568,-5499611887.795609,-5165589805.305545,-5340243991.646764,-5483967096.803084,-5389403565.704824,154123478.68549314,4
0.08349406719207764,0.01068112610290595,0.08061978816986085,0.011111387499170058,5,{'n_neighbors': 5},-6476330474.3185005,-6138351342.0741825,-6516263881.666892,-6598184035.674242,-6124656719.571768,-6482401478.102823,-6500136935.2100315,-6130786336.127957,-6327938209.189794,-6450109205.023595,-6374515861.695979,171288444.74497226,5
0.11041526794433594,0.03827380350970103,0.11062726974487305,0.03271142198560175,6,{'n_neighbors': 6},-7523412266.860511,-7119358189.628459,-7611977026.1846075,-7524445485.153036,-7006667558.091759,-7438908091.164941,-7402277988.529827,-7073089226.479588,-7204418309.007528,-7355942066.056475,-7326049620.715673,200753121.43731532,6
0.0747081995010376,0.004166946028736865,0.08798747062683106,0.005290126674818382,7,{'n_neighbors': 7},-8517118324.004763,-8062481312.636287,-8613187071.302727,-8447842140.423274,-7926626079.443198,-8372603881.361107,-8325045948.663479,-7938628076.185854,-8062169540.376324,-8279007311.574686,-8254470968.597171,231445544.79948634,7
0.08974745273590087,0.01653299335469386,0.11621179580688476,0.02346543055960426,8,{'n_neighbors': 8},-9483524421.892355,-8899697193.927225,-9531294883.525423,-9297746988.566526,-8815321556.82834,-9210241286.090113,-9189289440.57634,-8860993473.858238,-8894001182.480978,-9177557197.277914,-9135966762.502344,246198614.30822486,8
0.09746851921081542,0.02951602605661943,0.13784139156341552,0.04033441616649355,9,{'n_neighbors': 9},-10356617263.90896,-9712554899.123714,-10356501720.769909,-10113800039.16073,-9700888350.287401,-9964353863.577284,-10062689478.5725,-9682094882.78438,-9709188791.75918,-10077716098.644463,-9973640538.858852,250846423.92952186,9
0.07903761863708496,0.011414556686819378,0.11714897155761719,0.016510942109293655,10,{'n_neighbors': 10},-11146382889.894707,-10493587491.60032,-11161973340.519094,-10859312264.564915,-10517029069.092596,-10660156517.98055,-10875941937.200346,-10490318762.36032,-10509197931.196833,-10856108409.066204,-10757000861.34759,248784144.83309117,10
